Ilosc unieszkodliwiona [kg],Ilosc zinwentaryzowana [kg],Nazwa Gminy,Pozostala do unieszkodliwienia [kg],TERYT
346544.00,2175656.00,Biszcza,1829112.00,060204
94455.00,2547737.00,Frampol,2453282.00,060205
71444.00,3172059.00,Goraj,3100615.00,060206
6127.00,890793.00,Józefów,884666.00,060207
3040.00,428069.00,Księżpol,425029.00,060208
241615.00,1889497.00,Łukowa,1647882.00,060209
830933.13,3013361.13,Obsza,2182428.00,060210
1053637.00,2708290.00,Potok Górny,1654653.00,060211
115770.50,2659214.30,Tarnogród,2543443.80,060212
9270.00,1856381.00,Tereszpol,1847111.00,060213
1541150.00,10142391.00,Turobin,8601241.00,060214
138595.21,927839.38,Rejowiec Fabryczny,789244.17,060301
0.00,2506260.00,Białopole,2506260.00,060302
2259607.79,9296027.03,Chełm,7036419.24,060303
2582.25,5485640.53,Dorohusk,5483058.28,060304
0.00,19910.00,Dubienka,19910.00,060305
5574.00,1164752.00,Kamień,1159178.00,060306
189507.00,3507677.00,Leśniowice,3318170.00,060307
282685.00,2524892.00,Rejowiec Fabryczny,2242207.00,060308
334282.00,2966450.00,Ruda-Huta,2632168.00,060309
297333.01,5884232.76,Sawin,5586899.75,060310
422400.00,4947004.00,Siedliszcze,4524604.00,060311
166881.80,4938444.20,Wierzbica,4771562.40,060312
266478.00,3719788.00,Wojsławice,3453310.00,060313
33697.00,2719904.00,Żmudź,2686207.00,060314
3539.91,4167534.91,Rejowiec,4163995.00,060315
264731.78,2599418.17,Hrubieszów,2334686.39,060401
25388.00,143521.28,Dołhobyczów,118133.28,060402
10176.00,2103869.00,Horodło,2093693.00,060403
877052.16,5050028.16,Hrubieszów,4172976.00,060404
423197.00,2538237.65,Mircze,2115040.65,060405
286094.00,3385006.97,Trzeszczany,3098912.97,060406
474232.00,1246504.00,Uchanie,772272.00,060407
366605.90,4534679.73,Werbkowice,4168073.83,060408
0.00,3400086.00,Batorz,3400086.00,060501
33443.10,2518474.80,Chrzanów,2485031.70,060502
400695.00,3640503.00,Dzwola,3239808.00,060503
55878.02,4303090.88,Godziszów,4247212.86,060504
139902.00,2098432.00,Janów Lubelski,1958530.00,060505
12291.40,5153296.01,Modliborzyce,5141004.61,060506
21461.00,740912.00,Potok Wielki,719451.00,060507
322587.00,3581049.64,Krasnystaw,3258462.64,060601
4400.00,6166831.00,Fajsławice,6162431.00,060602
0.00,8937346.60,Gorzków,8937346.60,060603
207576.50,11251929.03,Izbica,11044352.53,060604
561471.00,7465924.00,Krasnystaw,6904453.00,060605
8206.00,2896994.00,Kraśniczyn,2888788.00,060606
146206.50,3202547.68,Łopiennik Górny,3056341.18,060607
0.00,5324.00,,5324.00,060608
2700.00,823148.00,Rudnik,820448.00,060609
1210.00,4198521.00,Siennica Różana,4197311.00,060610
391556.97,7352946.97,Żółkiewka,6961390.00,060611
467233.50,2790903.58,Kraśnik,2323670.08,060701
0.00,4875475.00,Annopol,4875475.00,060702
0.00,3830261.80,Dzierzkowice,3830261.80,060703
435594.00,6279291.00,Gościeradów,5843697.00,060704
0.00,3526327.20,Kraśnik,3526327.20,060705
154872.00,4400737.00,Szastarka,4245865.00,060706
378032.00,6042207.00,Trzydnik Duży,5664175.00,060707
207773.63,7374125.87,Urzędów,7166352.24,060708
269003.00,4723468.00,Wilkołaz,4454465.00,060709
400270.00,7071587.00,Zakrzówek,6671317.00,060710
389647.00,1412991.70,Lubartów,1023344.70,060801
0.00,2106450.00,Abramów,2106450.00,060802
431355.34,6858125.50,Firlej,6426770.16,060803
15834.83,1967475.00,Jeziorzany,1951640.17,060804
536345.20,6026703.90,Kamionka,5490358.70,060805
102531.00,3524741.00,Kock,3422210.00,060806
236232.50,3977582.00,Lubartów,3741349.50,060807
0.00,25267.00,Michów,25267.00,060808
5225.00,4991527.20,Niedźwiada,4986302.20,060809
111273.00,2602644.00,Ostrówek,2491371.00,060811
248981.20,2246992.20,Serniki,1998011.00,060812
130365.60,3622311.10,Uścimów,3491945.50,060813
690.00,8396925.00,Bełżyce,8396235.00,060901
0.00,7193979.98,Borzechów,7193979.98,060902
283978.00,9285146.50,Bychawa,9001168.50,060903
733516.00,5498509.00,Garbów,4764993.00,060904
332801.00,5661026.00,Głusk,5328225.00,060905
153981.00,7678767.00,Jabłonna,7524786.00,060906
963527.00,7981857.00,Jastków,7018330.00,060907
789217.00,7922990.40,Konopnica,7133773.40,060908
179238.50,5555700.64,Krzczonów,5376462.14,060909
368603.00,7591323.67,Niedrzwica Duża,7222720.67,060910
4180.00,6443212.55,Niemce,6439032.55,060911
377736.09,5753268.29,Strzyżewice,5375532.20,060912
218651.18,8749269.21,Wojciechów,8530618.03,060913
13530.00,5132883.00,Wólka,5119353.00,060914
44537.05,5899584.00,Wysokie,5855046.95,060915
0.00,1078082.50,Zakrzew,1078082.50,060916
864731.40,5532262.40,Cyców,4667531.00,061001
114696.70,4451212.72,Ludwin,4336516.02,061002
43472.00,4795413.75,Łęczna,4751941.75,061003
0.00,3276462.20,Milejów,3276462.20,061004
326345.70,4233378.70,Puchaczów,3907033.00,061005
213977.00,4139187.00,Spiczyn,3925210.00,061006
0.00,2364083.20,Łuków,2364083.20,061101
34496.00,277194.50,Stoczek Łukowski,242698.50,061102
59688.86,4380513.86,Adamów,4320825.00,061103
19371.00,5752709.10,Krzywda,5733338.10,061104
2961380.40,15464684.40,Łuków,12503304.00,061105
339927.00,4047602.86,Serokomla,3707675.86,061106
0.00,4006537.00,Stanin,4006537.00,061107
5500.00,8462562.00,Stoczek Łukowski,8457062.00,061108
208308.00,4104176.40,Trzebieszów,3895868.40,061109
322546.66,5941605.68,Wojcieszków,5619059.02,061110
370109.00,3700160.00,Wola Mysłowska,3330051.00,061111
48288.69,4829457.70,Chodel,4781169.01,061201
277243.00,5679212.00,Józefów nad Wisłą,5401969.00,061202
14377.00,5184678.00,Karczmiska,5170301.00,061203
23539.00,6391588.00,Łaziska,6368049.00,061204
148969.00,8325004.50,Opole Lubelskie,8176035.50,061205
261791.00,4512547.86,Poniatowa,4250756.86,061206
741603.00,6359023.00,Wilków,5617420.00,061207
172574.00,2352491.00,Dębowa Kłoda,2179917.00,061301
237845.06,3751021.56,Jabłoń,3513176.50,061302
66586.53,77226.53,Milanów,10640.00,061303
